host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
52.96.222.194;outlook.com;user;tcp;25;smtp;open;;;syn-ack;;3;
52.96.222.194;outlook.com;user;tcp;80;http;open;;;syn-ack;;3;
52.96.222.194;outlook.com;user;tcp;110;pop3;open;;;syn-ack;;3;
52.96.222.194;outlook.com;user;tcp;143;imap;open;;;syn-ack;;3;
52.96.222.194;outlook.com;user;tcp;443;https;open;;;syn-ack;;3;
52.96.222.194;outlook.com;user;tcp;587;submission;open;;;syn-ack;;3;
52.96.222.194;outlook.com;user;tcp;993;imaps;open;;;syn-ack;;3;
52.96.222.194;outlook.com;user;tcp;995;pop3s;open;;;syn-ack;;3;
